Date,Year,Company,Ticker,Exchange,Open,High,Low,Close,Volume
2024-04-01,2024,Tata Steel Limited,TATASTEEL.NS,NSE,150.2,159.25,149.91,156.47,310818764
2024-04-08,2024,Tata Steel Limited,TATASTEEL.NS,NSE,159.92,162.65,156.14,156.62,231592784
2024-04-15,2024,Tata Steel Limited,TATASTEEL.NS,NSE,154.99,157.77,150.68,155.28,235989566
2024-04-22,2024,Tata Steel Limited,TATASTEEL.NS,NSE,156.91,163.52,154.03,158.82,244978522
2024-04-29,2024,Tata Steel Limited,TATASTEEL.NS,NSE,161.12,163.56,157.58,159.49,231843409
2024-05-06,2024,Tata Steel Limited,TATASTEEL.NS,NSE,160.88,161.55,154.7,155.42,173057332
2024-05-13,2024,Tata Steel Limited,TATASTEEL.NS,NSE,155.61,161.36,151.4,160.83,196333478
2024-05-20,2024,Tata Steel Limited,TATASTEEL.NS,NSE,160.31,170.08,160.31,167.49,215805641
2024-05-27,2024,Tata Steel Limited,TATASTEEL.NS,NSE,170.22,170.22,156.47,160.16,298722314
2024-06-03,2024,Tata Steel Limited,TATASTEEL.NS,NSE,165.96,172.09,141.91,171.37,413778885
2024-06-10,2024,Tata Steel Limited,TATASTEEL.NS,NSE,172.63,176.35,169.9,175.44,228325436
2024-06-17,2024,Tata Steel Limited,TATASTEEL.NS,NSE,175.44,176.83,170.68,172.37,166841262
2024-06-24,2024,Tata Steel Limited,TATASTEEL.NS,NSE,173.4,174.92,167.88,170.04,209493657
2024-07-01,2024,Tata Steel Limited,TATASTEEL.NS,NSE,170.52,174.13,169.45,170.73,157885636
2024-07-08,2024,Tata Steel Limited,TATASTEEL.NS,NSE,170.62,171.47,163.21,164.85,165431994
2024-07-15,2024,Tata Steel Limited,TATASTEEL.NS,NSE,164.85,165.95,153.62,154.17,173697454
2024-07-22,2024,Tata Steel Limited,TATASTEEL.NS,NSE,154.79,159.24,151.47,158.85,196315575
2024-07-29,2024,Tata Steel Limited,TATASTEEL.NS,NSE,160.95,165.1,151.19,154.61,318118225
2024-08-05,2024,Tata Steel Limited,TATASTEEL.NS,NSE,150.16,150.78,145.6,148.35,263569486
2024-08-12,2024,Tata Steel Limited,TATASTEEL.NS,NSE,147.56,149.9,139.11,146.11,211989728
2024-08-19,2024,Tata Steel Limited,TATASTEEL.NS,NSE,147.41,152.15,146.96,150.69,218408200
2024-08-26,2024,Tata Steel Limited,TATASTEEL.NS,NSE,151.09,152.93,147.75,149.28,181803490
2024-09-02,2024,Tata Steel Limited,TATASTEEL.NS,NSE,150.39,150.39,145.76,147.77,137650761
2024-09-09,2024,Tata Steel Limited,TATASTEEL.NS,NSE,147.46,151.86,144.26,149.99,226951448
2024-09-16,2024,Tata Steel Limited,TATASTEEL.NS,NSE,151.47,152.11,144.42,148.56,166494068
2024-09-23,2024,Tata Steel Limited,TATASTEEL.NS,NSE,150.86,165.16,149.32,162.75,390198554
2024-09-30,2024,Tata Steel Limited,TATASTEEL.NS,NSE,163.68,166.3,160.26,162.95,272983780
2024-10-07,2024,Tata Steel Limited,TATASTEEL.NS,NSE,163.29,164.12,153.03,157.0,266269449
2024-10-14,2024,Tata Steel Limited,TATASTEEL.NS,NSE,158.19,159.66,147.66,151.85,166204530
2024-10-21,2024,Tata Steel Limited,TATASTEEL.NS,NSE,152.54,154.33,141.14,142.54,168832701
2024-10-28,2024,Tata Steel Limited,TATASTEEL.NS,NSE,142.67,147.51,141.43,146.34,113497940
2024-11-04,2024,Tata Steel Limited,TATASTEEL.NS,NSE,146.58,153.34,141.79,144.21,267508068
2024-11-11,2024,Tata Steel Limited,TATASTEEL.NS,NSE,144.21,144.32,134.37,134.84,170313802
2024-11-18,2024,Tata Steel Limited,TATASTEEL.NS,NSE,136.31,139.99,134.12,139.53,179954664
2024-11-25,2024,Tata Steel Limited,TATASTEEL.NS,NSE,141.64,142.82,139.58,141.25,165078830
2024-12-02,2024,Tata Steel Limited,TATASTEEL.NS,NSE,140.83,145.29,139.88,144.91,164838531
2024-12-09,2024,Tata Steel Limited,TATASTEEL.NS,NSE,144.91,149.02,142.23,145.56,161300063
2024-12-16,2024,Tata Steel Limited,TATASTEEL.NS,NSE,145.55,146.39,136.81,137.47,143203811
2024-12-23,2024,Tata Steel Limited,TATASTEEL.NS,NSE,139.2,140.52,135.45,135.74,96899204
